ID,Year,JT,Age,OR_cal,IW_cal
TS_91,14,63,55,259.9533165,12.20667057
TS_91,14,63,56,272.1599871,12.48651619
TS_91,14,63,57,284.6465033,13.55863249
TS_91,14,63,58,298.2051358,11.59671217
TS_91,14,63,59,309.801848,14.87608261
TS_91,14,63,60,324.6779306,11.06928197
TS_91,14,63,61,335.7472125,13.40407968
TS_91,14,63,62,349.1512922,11.9073183
TS_91,14,63,63,361.0586105,13.05821151
TS_91,14,63,64,374.116822,14.55722367
TS_91,14,63,65,388.6740457,20.27942874
TS_91,14,63,66,408.9534744,18.70539095
TS_91,14,63,67,427.6588654,19.12778526
TS_91,14,63,68,446.7866507,18.55083814
TS_91,14,63,69,465.3374888,19.05050886
TS_91,14,63,70,484.3879977,19.66571906
TS_91,14,63,71,504.0537167,18.85844324
TS_91,14,63,72,522.91216,18.82018017
TS_91,14,63,73,541.7323401,17.85009873
TS_91,14,63,74,559.5824388,18.70314018
TS_91,14,63,75,578.285579,17.90111616
TS_91,14,63,76,596.1866952,18.30175304
TS_91,14,63,77,614.4884482,18.15095152
TS_91,14,63,78,632.6393997,18.70314018
TS_91,14,63,79,651.3425399,15.6443451
TS_91,14,63,80,666.986885,17.70079771
TS_91,14,63,81,684.6876827,15.34349231
TS_91,14,63,82,700.031175,17.49972902
TS_91,14,63,83,717.5309041,16.24605068
TS_91,14,63,84,733.7769547,14.94210517
TS_91,14,63,85,748.7190599,16.3968522
TS_91,14,63,86,765.1159121,17.2491434
TS_91,14,63,87,782.3650555,18.10068434
TS_91,14,63,88,800.4657399,15.14317387
TS_91,14,63,89,815.6089137,18.11718998
TS_91,14,63,90,833.7261037,17.40969826
TS_91,14,63,91,851.135802,16.51239168
TS_91,14,63,92,867.6481936,16.02472506
TS_91,14,63,93,883.6729187,17.44195928
TS_91,14,63,94,901.114878,18.37227713
TS_91,14,63,95,919.4871551,14.7853016
TS_91,14,63,96,934.2724567,17.6632849
TS_91,14,63,97,951.9357416,15.16343079
TS_91,14,63,98,967.0991724,15.28572257
TS_91,14,63,99,982.384895,15.57532152
TS_91,14,63,100,997.9602165,15.03213593
TS_91,14,63,101,1012.992352,14.62249597
TS_91,14,63,102,1027.614848,14.26762473
TS_91,14,63,103,1041.882473,12.63131566
TS_91,14,63,104,1054.513789,7.66461872
TS_91,14,63,105,1062.178407,"""NA"""
TS_92,14,52,1,11.38063835,1.741344954
